Title,Author,Publication Year
La positività del diritto : saggio su Hans Kelsen / Federico Lijoi,"Lijoi, Federico [Verfasser]",2012
Obrana demokracije : rasprave o teoriji demokracije / Hans Kelsen. Tekstove izabrali i uredili Matthias Jestaedt i Oliver Lepsius. Preveo Kiril Miladinov. [Transl.: S.-Fischer-Foundation],"Kelsen, Hans [Verfasser]; Jestaedt, Matthias [Herausgeber]",2012
"Parlamentarismo, democrazia e corporativismo / Hans Kelsen ; Arnaldo Volpicelli. Pref. e cura di Mario G. Losano","Kelsen, Hans [Mitwirkender]; Volpicelli, Arnaldo [Mitwirkender]; Losano, Mario G. [Herausgeber]",2012
Qu'est-ce que la justice? / traduit de l'allemand par Pauline Le More et Jimmy Plourde,"Kelsen, Hans [Verfasser]",2012
Storia di Kelsen : la recezione della Reine Rechtslehre in Italia / Antonio Merlino,"Merlino, Antonio [Verfasser]",2012
Das Recht zwischen Reinheit und Realität : Hermann Cohen und die philosophischen Grundlagen der Rechtslehre Kelsens / Agostino Carrino,"Carrino, Agostino [Verfasser]",2011
Das Recht zwischen Reinheit und Realität : Hermann Cohen und die philosophischen Grundlagen der Rechtslehre Kelsens ; [Vortrag gehalten am 30. Juni 2010] / Agostino Carrino,"Carrino, Agostino [Verfasser]",2011
Der Staat als Rechtsordnung : Hans Kelsens Identitätsthese und ihre Bedeutung für den europäischen Konstitutionalisierungsprozess / Jan Vollmeyer,"Vollmeyer, Jan [Verfasser]",2011
Der Staat als Rechtsordnung : Hans Kelsens Identitätsthese und ihre Bedeutung für den europäischen Konstitutionalisierungsprozess / Jan Vollmeyer,"Vollmeyer, Jan [Verfasser]",2011
Etica della sovranità : questioni antropologiche in Kelsen e Schmitt / Alessio Musio,"Musio, Alessio [Verfasser]",2011
"Secular Religion : A Polemic against the Misinterpretation of Modern Social Philosophy, Science and Politics as ""New Religions"" / Hans Kelsen ; Richard Potz","Kelsen, Hans [Verfasser]; Potz, Richard [Verfasser]; Jabloner, Clemens [Herausgeber]; Zeleny, Klaus [Herausgeber]",2011
Sovereignty and Constitutional Democracy / Petra Gümplová,"Gümplová, Petra [Verfasser]",2011
Sovereignty and constitutional democracy / Petra Gümplová,"Gümplová, Petra [Verfasser]",2011
"Subjektive Rechte und personale Identität. : Die Anwendung subjektiver Rechte bei Immanuel Kant, Carl Schmitt, Hans Kelsen und Hermann Heller. / Marc Schütze","Schütze, Marc [Verfasser]",2011
Bd. 5. Veröffentlichte Schriften 1919 - 1920,,2011
Celso e Kelsen : per la rifondazione della scienza giuridica / Filippo Gallo,"Gallo, Filippo [Verfasser]",2010
"Conversazioni con Hans Kelsen : documenti dell'esilio ginevrino, 1933 - 1940 / Umberto Campagnolo. A cura di Mario G. Losano","Campagnolo, Umberto [Mitwirkender]; Kelsen, Hans [Mitwirkender]; Losano, Mario G. [Herausgeber]",2010
Demokratische Staatsrechtslehrer in der Weimarer Republik : Von der konstitutionellen Staatslehre zur Theorie des modernen demokratischen Verfassungsstaats / Kathrin Groh,"Groh, Kathrin [Verfasser]",2010
Demokratische Staatsrechtslehrer in der Weimarer Republik : von der konstitutionellen Staatslehre zur Theorie des modernen demokratischen Verfassungsstaats / Kathrin Groh,"Groh, Kathrin [Verfasser]",2010
"El primer Kelsen y otros estudios /  SFD, Asociación Cultural. Gregorio Robles Morchón ; Diego Medina Morales","Robles Morchón, Gregrorio [Herausgeber]",2010
Hans Kelsen und die offene Gesellschaft / Robert Chr. van Ooyen,"Ooyen, Robert Chr. van [Verfasser]",2010
Hans Kelsen und die offene Gesellschaft,,2010
Kelsens Kritiker : ein Beitrag zur Geschichte der Rechts- und Staatstheorie (1911 - 1934) / Axel-Johannes Korb,"Korb, Axel-Johannes [Verfasser]",2010
La democrazia / Hans Kelsen. [Trad. it. di Giorgio Melloni ...],"Kelsen, Hans [Verfasser]",2010
O granicama između pravničke i sociološke metode : opšta teorija prava i države = Über Grenzen zwischen juristischer und soziologischer Methode <serb.>,"Kelsen, Hans [Verfasser]",2010
Problem parlamentarizma / Hans Kelzen. Preveo Danilo N. Basta,"Kelsen, Hans [Verfasser]",2010
The public international law theory of Hans Kelsen : believing in universal law / Jochen von Bernstorff and Thomas Dunlap,"Bernstorff, Jochen von [Verfasser]",2010
Bd. 3. Veröffentlichte Schriften 1911 - 1917,,2010
Allgemeine Staatslehre / Hans Kelsen,"Kelsen, Hans [Verfasser]",2009
El estado como integración : una controversia de principio / Hans Kelsen. Estudio preliminar y trad. de Juan Antonio García Amado,"Kelsen, Hans [Verfasser]; García Amado, Juan Antonio [Herausgeber]",2009
[Reine Rechtslehre] ; El método y los conceptos fundamentales de la teoría pura del derecho / Hans Kelsen ; versión del alemán por Luis Legaz Lacambra,"Kelsen, Hans [Verfasser]",2009
